key=kiru vocab="@KJ{{cut}}@HI{{ru}}" type=T pair=kireru example=""
key=kireru vocab="@KJ{{cut}}@HI{{reru}}" type=I pair=kiru example=""

key=akeru vocab="@KJ{{open}}@HI{{keru}}" type=T pair=aku example=""
key=aku vocab="@KJ{{open}}@HI{{ku}}" type=I pair=akeru example=""

key=shimeru vocab="@KJ{{closed}}@HI{{meru}}" type=T pair=shimaru
key=shimaru vocab="@KJ{{closed}}@HI{{maru}}" type=I pair=shimeru

key=tsukeru vocab="@HI{{tsukeru}}" type=T pair=tsuku
key=tsuku vocab="@KJ{{spot}}@HI{{ku}}" type=I pair=tsukeru

key=kesu vocab="@KJ{{extinguish}}@HI{{su}}" type=T pair=kieru
key=kieru vocab="@KJ{{extinguish}}@HI{{eru}}" type=I pair=kesu

key=tomaru vocab="@KJ{{stop}}@HI{{maru}}" type=I pair=tomeru
key=tomeru vocab="@KJ{{stop}}@HI{{meru}}" type=T pair=tomaru

key=hajimeru vocab="@KJ{{commence}}@HI{{meru}}" type=T pair=hajimaru
key=hajimaru vocab="@KJ{{commence}}@HI{{maru}}" type=I pair=hajimeru

key=uru vocab="@KJ{{sell}}@HI{{ru}}" type=T pair=ureru
key=ureru vocab="@KJ{{sell}}@HI{{reru}}" type=I pair=uru

key=ireru vocab="@KJ{{enter}}@HI{{reru}}" type=T pair=hairu
key=hairu vocab="@KJ{{enter}}@HI{{ru}}" type=I pair=ireru

key=dasu vocab="@KJ{{exit}}@HI{{su}}" type=T pair=deru
key=deru vocab="@KJ{{exit}}@HI{{ru}}" type=I pair=dasu

key=nakusu vocab="@HI{{nakusu}}" type=T pair=nakunaru
key=nakunaru vocab="@HI{{nakunaru}}" type=I pair=nakusu

key=atsumeru vocab="@KJ{{gather}}@HI{{meru}}" type=T pair=atsumaru
key=atsumaru vocab="@KJ{{gather}}@HI{{maru}}" type=I pair=atsumeru

key=naosu vocab="@KJ{{straightaway}}@HI{{su}}" type=T pair=naoru
key=naoru vocab="@KJ{{straightaway}}@HI{{ru}}" type=I pair=naosu

key=kaeru vocab="@KJ{{unusual}}@HI{{eru}}" type=T pair=kawaru
key=kawaru vocab="@KJ{{unusual}}@HI{{waru}}" type=I pair=kaeru

